         1250288 function calls (1197757 primitive calls) in 2.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      503    0.001    0.000    0.011    0.000 module.py:251(_next)
        8    0.000    0.000    0.011    0.001 codegen.py:1095(_load_defined_symbols)
      238    0.001    0.000    0.011    0.000 extending.py:207(decorate)
       14    0.000    0.000    0.011    0.001 codegen.py:1249(_function_pass_manager)
       76    0.000    0.000    0.010    0.000 base.py:49(_find)
       16    0.000    0.000    0.010    0.001 codegen.py:1099(<setcomp>)
        1    0.000    0.000    0.010    0.010 listobj.py:1(<module>)
        8    0.000    0.000    0.010    0.001 codegen.py:1316(_scan_and_fix_unresolved_refs)
        7    0.000    0.000    0.010    0.001 inline_closurecall.py:88(run)
    69/59    0.000    0.000    0.010    0.000 base.py:526(get_function)
       98    0.000    0.000    0.010    0.000 npydecl.py:196(generic)
        1    0.000    0.000    0.010    0.010 dictobject.py:1(<module>)
      415    0.001    0.000    0.010    0.000 value.py:231(is_declaration)
    11300    0.003    0.000    0.010    0.000 <frozen abc>:117(__instancecheck__)
        7    0.000    0.000    0.010    0.001 typed_passes.py:557(run_pass)
        7    0.000    0.000    0.010    0.001 ir_utils.py:2272(check_and_legalize_ir)
       76    0.001    0.000    0.009    0.000 base.py:56(_select_compatible)
       98    0.001    0.000    0.009    0.000 npydecl.py:92(generic)
     3569    0.003    0.000    0.009    0.000 _utils.py:16(register)
       21    0.000    0.000    0.009    0.000 postproc.py:158(_insert_var_dels)
     7710    0.005    0.000    0.009    0.000 event.py:100(__init__)
      311    0.000    0.000    0.009    0.000 extending.py:157(wrap)
       21    0.003    0.000    0.009    0.000 postproc.py:179(_patch_var_dels)
      167    0.000    0.000    0.009    0.000 lowering.py:1578(delvar)
        6    0.000    0.000    0.009    0.002 callconv.py:122(raise_error)
6819/6769    0.004    0.000    0.009    0.000 _utils.py:54(get_reference)
    24494    0.004    0.000    0.009    0.000 {method 'get' of 'dict' objects}
      311    0.000    0.000    0.009    0.000 extending.py:140(register_jitable)
      435    0.003    0.000    0.009    0.000 {built-in method builtins.__build_class__}
       39    0.000    0.000    0.009    0.000 cgutils.py:99(__init__)
     1200    0.002    0.000    0.009    0.000 base.py:103(_match_arglist)
        2    0.000    0.000    0.009    0.004 mathimpl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 mathdecl.py:1(<module>)
6292/6235    0.002    0.000    0.009    0.000 {method 'join' of 'str' objects}
     2194    0.002    0.000    0.009    0.000 abstract.py:49(_intern)
        1    0.000    0.000    0.009    0.009 distributions.py:1(<module>)
        1    0.000    0.000    0.009    0.009 random_methods.py:1(<module>)
        7    0.001    0.000    0.009    0.001 byteflow.py:85(run)
        5    0.000    0.000    0.008    0.002 base.py:336(nrt)
      151    0.000    0.000    0.008    0.000 lowering.py:1532(storevar)
        8    0.000    0.000    0.008    0.001 codegen.py:781(_verify_declare_only_symbols)
        1    0.000    0.000    0.008    0.008 function_type.py:1(<module>)
      190    0.000    0.000    0.008    0.000 lowering.py:1634(decref)
        1    0.000    0.000    0.008    0.008 tupleobj.py:1(<module>)
        7    0.000    0.000    0.008    0.001 lowering.py:30(__init__)
       35    0.000    0.000    0.008    0.000 inline_closurecall.py:1464(match)
        1    0.000    0.000    0.008    0.008 cmathdecl.py:1(<module>)
       75    0.000    0.000    0.008    0.000 templates.py:488(apply)
       35    0.001    0.000    0.008    0.000 inline_closurecall.py:1477(_inline_const_arraycall)
       75    0.000    0.000    0.008    0.000 templates.py:279(_select)
      196    0.000    0.000    0.008    0.000 context.py:384(decref)
       63    0.000    0.000    0.008    0.000 transforms.py:361(canonicalize_cfg)
        1    0.000    0.000    0.008    0.008 old_arraymath.py:1(<module>)
       75    0.001    0.000    0.008    0.000 context.py:615(resolve_overload)
7277/5584    0.005    0.000    0.008    0.000 abstract.py:121(__hash__)
       12    0.000    0.000    0.008    0.001 callconv.py:871(call_function)
    10657    0.005    0.000    0.008    0.000 targetconfig.py:111(getter)
  234/210    0.000    0.000    0.008    0.000 base.py:689(cast)
       63    0.000    0.000    0.008    0.000 transforms.py:291(canonicalize_cfg_single_backedge)
       80    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
      175    0.002    0.000    0.008    0.000 analysis.py:235(compute_cfg_from_blocks)
        7    0.000    0.000    0.008    0.001 typed_passes.py:883(run_pass)
        1    0.000    0.000    0.007    0.007 listdecl.py:1(<module>)
      115    0.001    0.000    0.007    0.000 cgutils.py:362(alloca_once)
2697/2477    0.002    0.000    0.007    0.000 contextlib.py:141(__exit__)
      394    0.002    0.000    0.007    0.000 utils.py:306(order_by_target_specificity)
        7    0.000    0.000    0.007    0.001 ssa.py:26(reconstruct_ssa)
        7    0.000    0.000    0.007    0.001 ssa.py:47(_run_ssa)
     7771    0.006    0.000    0.007    0.000 event.py:270(on_end)
      650    0.001    0.000    0.007    0.000 builder.py:968(extract_value)
7206/5008    0.002    0.000    0.007    0.000 <frozen abc>:121(__subclasscheck__)
       27    0.000    0.000    0.007    0.000 module.py:167(link_in)
     5233    0.003    0.000    0.007    0.000 {built-in method builtins.issubclass}
     1025    0.001    0.000    0.007    0.000 ffi.py:334(close)
      177    0.000    0.000    0.007    0.000 inspect.py:3261(signature)
        7    0.000    0.000    0.007    0.001 interpreter.py:1442(post_process)
      167    0.000    0.000    0.007    0.000 context.py:353(resolve_value_type)
      177    0.000    0.000    0.007    0.000 inspect.py:3007(from_callable)
    18145    0.005    0.000    0.007    0.000 utils.py:484(sublist_iterator)
      120    0.000    0.000    0.006    0.000 context.py:378(incref)
        7    0.000    0.000    0.006    0.001 lowering.py:355(init)
       63    0.003    0.000    0.006    0.000 analysis.py:118(compute_dead_maps)
        7    0.000    0.000    0.006    0.001 untyped_passes.py:118(run_pass)
      279    0.000    0.000    0.006    0.000 module.py:240(_next)
        7    0.000    0.000    0.006    0.001 lowering.py:371(_find_singly_assigned_variable)
      177    0.001    0.000    0.006    0.000 inspect.py:2435(_signature_from_callable)
    11300    0.004    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
1302/1262    0.001    0.000    0.006    0.000 manager.py:29(lookup)
        7    0.000    0.000    0.006    0.001 typeinfer.py:1024(build_constraint)
        8    0.000    0.000    0.006    0.001 codegen.py:775(_finalize_dynamic_globals)
      185    0.000    0.000    0.006    0.000 typeinfer.py:1387(constrain_statement)
1156/1154    0.001    0.000    0.006    0.000 manager.py:40(__getitem__)
     3420    0.004    0.000    0.006    0.000 _utils.py:24(deduplicate)
        3    0.000    0.000    0.006    0.002 lowering.py:810(lower_getitem)
       13    0.000    0.000    0.006    0.000 codegen.py:692(_get_module_for_linking)
     3136    0.003    0.000    0.006    0.000 target_extension.py:53(get_local_target)
      128    0.001    0.000    0.006    0.000 values.py:936(__init__)
      148    0.000    0.000    0.006    0.000 typeinfer.py:1456(typeof_assign)
     2144    0.002    0.000    0.006    0.000 base.py:368(insert_func_defn)
      196    0.000    0.000    0.006    0.000 targetconfig.py:188(__hash__)
     1316    0.002    0.000    0.006    0.000 base.py:123(_match)
      968    0.001    0.000    0.006    0.000 ffi.py:377(__del__)
       98    0.002    0.000    0.006    0.000 numpy_support.py:380(ufunc_find_matching_loop)
7206/5008    0.005    0.000    0.006    0.000 {built-in method _abc._abc_subclasscheck}
       27    0.000    0.000    0.006    0.000 linker.py:5(link_modules)
       22    0.000    0.000    0.006    0.000 module.py:109(verify)
      558    0.002    0.000    0.006    0.000 context.py:565(_rate_arguments)
      164    0.004    0.000    0.006    0.000 analysis.py:91(liveness)
        8    0.000    0.000    0.005    0.001 codegen.py:1040(scan_defined_symbols)
